PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,id
818,0,2,"Mallet, Mr. Albert",male,31,1,1,S.C./PARIS 2079,37.0042,,C,14
579,0,3,"Caram, Mrs. Joseph (Maria Elias)",female,,1,0,2689,14.4583,,C,623
728,1,3,"Mannion, Miss. Margareth",female,,0,0,36866,7.7375,,Q,293
242,1,3,"Murphy, Miss. Katherine """"""""Kate""""""""",female,,1,0,367230,15.5,,Q,297
58,0,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,510
323,1,2,"Slayter, Miss. Hilda Mary",female,30,0,0,234818,12.35,,Q,223
659,0,2,"Eitemiller, Mr. George Floyd",male,23,0,0,29751,13,,S,264
282,0,3,"Olsson, Mr. Nils Johan Goransson",male,28,0,0,347464,7.8542,,S,695
771,0,3,"Lievens, Mr. Rene Aime",male,24,0,0,345781,9.5,,S,48
544,1,2,"Beane, Mr. Edward",male,32,1,0,2908,26,,S,608
786,0,3,"Harmer, Mr. Abraham (David Lishin)",male,25,0,0,374887,7.25,,S,700
769,0,3,"Moran, Mr. Daniel J",male,,1,0,371110,24.15,,Q,72
571,1,2,"Harris, Mr. George",male,62,0,0,S.W./PP 752,10.5,,S,53
753,0,3,"Vande Velde, Mr. Johannes Joseph",male,33,0,0,345780,9.5,,S,287
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25,0,0,C.A. 29178,13,,S,449
825,0,3,"Panula, Master. Urho Abraham",male,2,4,1,3101295,39.6875,,S,484
883,0,3,"Dahlberg, Miss. Gerda Ulrika",female,22,0,0,7552,10.5167,,S,298
711,1,1,"Mayne, Mlle. Berthe Antonine (""""""""Mrs de Villiers"""""""")",female,24,0,0,PC 17482,49.5042,C90,C,515
722,0,3,"Jensen, Mr. Svend Lauritz",male,17,1,0,350048,7.0542,,S,446
700,0,3,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42,0,0,348121,7.65,F G63,S,340
126,1,3,"Nicola-Yarred, Master. Elias",male,12,1,0,2651,11.2417,,C,452
470,1,3,"Baclini, Miss. Helene Barbara",female,0.75,2,1,2666,19.2583,,C,385
876,1,3,"Najib, Miss. Adele Kiamie """"""""Jane""""""""",female,15,0,0,2667,7.225,,C,532
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.5,0,2,A/5. 851,14.5,,S,528
147,1,3,"Andersson, Mr. August Edvard (""""""""Wennerstrom"""""""")",male,27,0,0,350043,7.7958,,S,397
37,1,3,"Mamee, Mr. Hanna",male,,0,0,2677,7.2292,,C,645
851,0,3,"Andersson, Master. Sigvard Harald Elias",male,4,4,2,347082,31.275,,S,687
467,0,2,"Campbell, Mr. William",male,,0,0,239853,0,,S,463
644,1,3,"Foo, Mr. Choong",male,,0,0,1601,56.4958,,S,13
480,1,3,"Hirvonen, Miss. Hildur E",female,2,0,1,3101298,12.2875,,S,197
584,0,1,"Ross, Mr. John Hugo",male,36,0,0,13049,40.125,A10,C,569
65,0,1,"Stewart, Mr. Albert A",male,,0,0,PC 17605,27.7208,,C,606
111,0,1,"Porter, Mr. Walter Chamberlain",male,47,0,0,110465,52,C110,S,151
36,0,1,"Holverson, Mr. Alexander Oskar",male,42,1,0,113789,52,,S,601
92,0,3,"Andreasson, Mr. Paul Edvin",male,20,0,0,347466,7.8542,,S,363
484,1,3,"Turkula, Mrs. (Hedwig)",female,63,0,0,4134,9.5875,,S,539
1,0,3,"Braund, Mr. Owen Harris",male,22,1,0,A/5 21171,7.25,,S,524
671,1,2,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,40,1,1,29750,39,,S,179
365,0,3,"O'Brien, Mr. Thomas",male,,1,0,370365,15.5,,Q,31
710,1,3,"Moubarek, Master. Halim Gonios (""""""""William George"""""""")",male,,1,1,2661,15.2458,,C,143
241,0,3,"Zabour, Miss. Thamine",female,,1,0,2665,14.4542,,C,427
476,0,1,"Clifford, Mr. George Quincy",male,,0,0,110465,52,A14,S,665
204,0,3,"Youseff, Mr. Gerious",male,45.5,0,0,2628,7.225,,C,434
717,1,1,"Endres, Miss. Caroline Louise",female,38,0,0,PC 17757,227.525,C45,C,490
821,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52,1,1,12749,93.5,B69,S,489
848,0,3,"Markoff, Mr. Marin",male,35,0,0,349213,7.8958,,C,677
518,0,3,"Ryan, Mr. Patrick",male,,0,0,371110,24.15,,Q,7
805,1,3,"Hedman, Mr. Oskar Arvid",male,27,0,0,347089,6.975,,S,598
191,1,2,"Pinsky, Mrs. (Rosa)",female,32,0,0,234604,13,,S,203
415,1,3,"Sundman, Mr. Johan Julian",male,44,0,0,STON/O 2. 3101269,7.925,,S,268
795,0,3,"Dantcheff, Mr. Ristiu",male,25,0,0,349203,7.8958,,S,84
623,1,3,"Nakid, Mr. Sahid",male,20,1,1,2653,15.7417,,C,12
836,1,1,"Compton, Miss. Sara Rebecca",female,39,1,1,PC 17756,83.1583,E49,C,409
398,0,2,"McKane, Mr. Peter David",male,46,0,0,28403,26,,S,644
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2,2650,15.2458,,C,444
692,1,3,"Karun, Miss. Manca",female,4,0,1,349256,13.4167,,C,114
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,1,5,347077,31.3875,,S,149
57,1,2,"Rugg, Miss. Emily",female,21,0,0,C.A. 31026,10.5,,S,517
268,1,3,"Persson, Mr. Ernst Ulrik",male,25,1,0,347083,7.775,,S,238
235,0,2,"Leyson, Mr. Robert William Norman",male,24,0,0,C.A. 29566,10.5,,S,144
646,1,1,"Harper, Mr. Henry Sleeper",male,48,1,0,PC 17572,76.7292,D33,C,43
18,1,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13,,S,39
39,0,3,"Vander Planke, Miss. Augusta Maria",female,18,2,0,345764,18,,S,77
400,1,2,"Trout, Mrs. William H (Jessie L)",female,28,0,0,240929,12.65,,S,15
284,1,3,"Dorking, Mr. Edward Arthur",male,19,0,0,A/5. 10482,8.05,,S,240
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,4,1,1,PP 9549,16.7,G6,S,638
308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0,PC 17758,108.9,C65,C,437
603,0,1,"Harrington, Mr. Charles H",male,,0,0,113796,42.4,,S,207
91,0,3,"Christmann, Mr. Emil",male,29,0,0,343276,8.05,,S,50
186,0,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50,A32,S,23
378,0,1,"Widener, Mr. Harry Elkins",male,27,0,2,113503,211.5,C82,C,709
164,0,3,"Calic, Mr. Jovo",male,17,0,0,315093,8.6625,,S,641
109,0,3,"Rekic, Mr. Tido",male,38,0,0,349249,7.8958,,S,89
574,1,3,"Kelly, Miss. Mary",female,,0,0,14312,7.75,,Q,24
648,1,1,"Simonius-Blumer, Col. Oberst Alfons",male,56,0,0,13213,35.5,A26,C,655
660,0,1,"Newell, Mr. Arthur Webster",male,58,0,2,35273,113.275,D48,C,533
639,0,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41,0,5,3101295,39.6875,,S,521
483,0,3,"Rouse, Mr. Richard Henry",male,50,0,0,A/5 3594,8.05,,S,587
346,1,2,"Brown, Miss. Amelia """"""""Mildred""""""""",female,24,0,0,248733,13,F33,S,525
124,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13,E101,S,304
751,1,2,"Wells, Miss. Joan",female,4,1,1,29103,23,,S,199
738,1,1,"Lesurer, Mr. Gustave J",male,35,0,0,PC 17755,512.3292,B101,C,364
733,0,2,"Knight, Mr. Robert J",male,,0,0,239855,0,,S,705
628,1,1,"Longley, Miss. Gretchen Fiske",female,21,0,0,13502,77.9583,D9,S,83
61,0,3,"Sirayanian, Mr. Orsen",male,22,0,0,2669,7.2292,,C,47
38,0,3,"Cann, Mr. Ernest Charles",male,21,0,0,A./5. 2152,8.05,,S,325
754,0,3,"Jonkoff, Mr. Lalio",male,23,0,0,349204,7.8958,,S,154
226,0,3,"Berglund, Mr. Karl Ivar Sven",male,22,0,0,PP 4348,9.35,,S,476
387,0,3,"Goodwin, Master. Sidney Leonard",male,1,5,2,CA 2144,46.9,,S,320
370,1,1,"Aubart, Mme. Leontine Pauline",female,24,0,0,PC 17477,69.3,B35,C,278
865,0,2,"Gill, Mr. John William",male,24,0,0,233866,13,,S,388
616,1,2,"Herman, Miss. Alice",female,24,1,2,220845,65,,S,54
721,1,2,"Harper, Miss. Annie Jessie """"""""Nina""""""""",female,6,0,1,248727,33,,S,379
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,1,0,237736,30.0708,,C,215
253,0,1,"Stead, Mr. William Thomas",male,62,0,0,113514,26.55,C87,S,635
362,0,2,"del Carlo, Mr. Sebastiano",male,29,1,0,SC/PARIS 2167,27.7208,,C,173
300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1,PC 17558,247.5208,B58 B60,C,324
123,0,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,585
599,0,3,"Boulos, Mr. Hanna",male,,0,0,2664,7.225,,C,275
162,1,2,"Watt, Mrs. James (Elizabeth """"""""Bessie"""""""" Inglis Milne)",female,40,0,0,C.A. 33595,15.75,,S,538
468,0,1,"Smart, Mr. John Montgomery",male,56,0,0,113792,26.55,,S,270
96,0,3,"Shorney, Mr. Charles Joseph",male,,0,0,374910,8.05,,S,389
764,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36,1,2,113760,120,B96 B98,S,535
408,1,2,"Richards, Master. William Rowe",male,3,1,1,29106,18.75,,S,157
274,0,1,"Natsch, Mr. Charles H",male,37,0,1,PC 17596,29.7,C118,C,541
412,0,3,"Hart, Mr. Henry",male,,0,0,394140,6.8583,,Q,637
95,0,3,"Coxon, Mr. Daniel",male,59,0,0,364500,7.25,,S,498
192,0,2,"Carbines, Mr. William",male,19,0,0,28424,13,,S,95
541,1,1,"Crosby, Miss. Harriet R",female,36,0,2,WE/P 5735,71,B22,S,712
368,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0,2626,7.2292,,C,369
34,0,2,"Wheadon, Mr. Edward H",male,66,0,0,C.A. 24579,10.5,,S,20
301,1,3,"Kelly, Miss. Anna Katherine """"""""Annie Kate""""""""",female,,0,0,9234,7.75,,Q,246
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,0,2,347742,11.1333,,S,85
493,0,1,"Molson, Mr. Harry Markland",male,55,0,0,113787,30.5,C30,S,258
454,1,1,"Goldenberg, Mr. Samuel L",male,49,1,0,17453,89.1042,C92,C,347
250,0,2,"Carter, Rev. Ernest Courtenay",male,54,1,0,244252,26,,S,696
568,0,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29,0,4,349909,21.075,,S,57
417,1,2,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34,1,1,28220,32.5,,S,127
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0,345770,9.5,,S,309
385,0,3,"Plotcharsky, Mr. Vasil",male,,0,0,349227,7.8958,,S,428
494,0,1,"Artagaveytia, Mr. Ramon",male,71,0,0,PC 17609,49.5042,,C,566
453,0,1,"Foreman, Mr. Benjamin Laventall",male,30,0,0,113051,27.75,C111,C,488
20,1,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,559
297,0,3,"Hanna, Mr. Mansour",male,23.5,0,0,2693,7.2292,,C,381
509,0,3,"Olsen, Mr. Henry Margido",male,28,0,0,C 4001,22.525,,S,477
614,0,3,"Horgan, Mr. John",male,,0,0,370377,7.75,,Q,308
213,0,3,"Perkin, Mr. John Henry",male,22,0,0,A/5 21174,7.25,,S,167
523,0,3,"Lahoud, Mr. Sarkis",male,,0,0,2624,7.225,,C,648
708,1,1,"Calderhead, Mr. Edward Pennington",male,42,0,0,PC 17476,26.2875,E24,S,161
784,0,3,"Johnston, Mr. Andrew G",male,,1,2,W./C. 6607,23.45,,S,493
707,1,2,"Kelly, Mrs. Florence """"""""Fannie""""""""",female,45,0,0,223596,13.5,,S,605
384,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,0,113789,52,,S,589
413,1,1,"Minahan, Miss. Daisy E",female,33,1,0,19928,90,C78,Q,370
759,0,3,"Theobald, Mr. Thomas Leonard",male,34,0,0,363294,8.05,,S,699
401,1,3,"Niskanen, Mr. Juha",male,39,0,0,STON/O 2. 3101289,7.925,,S,272
214,0,2,"Givard, Mr. Hans Kristensen",male,30,0,0,250646,13,,S,401
103,0,1,"White, Mr. Richard Frasar",male,21,0,1,35281,77.2875,D26,S,491
652,1,2,"Doling, Miss. Elsie",female,18,0,1,231919,23,,S,531
392,1,3,"Jansson, Mr. Carl Olof",male,21,0,0,350034,7.7958,,S,411
617,0,3,"Danbom, Mr. Ernst Gilbert",male,34,1,1,347080,14.4,,S,439
748,1,2,"Sinkkonen, Miss. Anna",female,30,0,0,250648,13,,S,502
573,1,1,"Flynn, Mr. John Irwin (""""""""Irving"""""""")",male,36,0,0,PC 17474,26.3875,E25,S,358
558,0,1,"Robbins, Mr. Victor",male,,0,0,PC 17757,227.525,,C,483
536,1,2,"Hart, Miss. Eva Miriam",female,7,0,2,F.C.C. 13529,26.25,,S,405
890,1,1,"Behr, Mr. Karl Howell",male,26,0,0,111369,30,C148,C,561
187,1,3,"O'Brien, Mrs. Thomas (Johanna """"""""Hannah"""""""" Godfrey)",female,,1,0,370365,15.5,,Q,133
144,0,3,"Burke, Mr. Jeremiah",male,19,0,0,365222,6.75,,Q,190
222,0,2,"Bracken, Mr. James H",male,27,0,0,220367,13,,S,5
423,0,3,"Zimmerman, Mr. Leo",male,29,0,0,315082,7.875,,S,124
656,0,2,"Hickman, Mr. Leonard Mark",male,24,2,0,S.O.C. 14879,73.5,,S,56
884,0,2,"Banfield, Mr. Frederick James",male,28,0,0,C.A./SOTON 34068,10.5,,S,321
30,0,3,"Todoroff, Mr. Lalio",male,,0,0,349216,7.8958,,S,108
441,1,2,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",female,45,1,1,F.C.C. 13529,26.25,,S,113
550,1,2,"Davies, Master. John Morgan Jr",male,8,1,1,C.A. 33112,36.75,,S,9
492,0,3,"Windelov, Mr. Einar",male,21,0,0,SOTON/OQ 3101317,7.25,,S,171
318,0,2,"Moraweck, Dr. Ernest",male,54,0,0,29011,14,,S,676
245,0,3,"Attalah, Mr. Sleiman",male,30,0,0,2694,7.225,,C,474
217,1,3,"Honkanen, Miss. Eliina",female,27,0,0,STON/O2. 3101283,7.925,,S,217
478,0,3,"Braund, Mr. Lewis Richard",male,29,1,0,3460,7.0458,,S,357
729,0,2,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25,1,0,236853,26,,S,464
64,0,3,"Skoog, Master. Harald",male,4,3,2,347088,27.9,,S,107
182,0,2,"Pernot, Mr. Rene",male,,0,0,SC/PARIS 2131,15.05,,C,237
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,1,0,PC 17599,71.2833,C85,C,311
425,0,3,"Rosblom, Mr. Viktor Richard",male,18,1,1,370129,20.2125,,S,288
206,0,3,"Strom, Miss. Telma Matilda",female,2,0,1,347054,10.4625,G6,S,142
762,0,3,"Nirva, Mr. Iisakki Antino Aijo",male,41,0,0,SOTON/O2 3101272,7.125,,S,116
809,0,2,"Meyer, Mr. August",male,39,0,0,248723,13,,S,500
76,0,3,"Moen, Mr. Sigurd Hansen",male,25,0,0,348123,7.65,F G73,S,643
875,1,2,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28,1,0,P/PP 3381,24,,C,656
396,0,3,"Johansson, Mr. Erik",male,22,0,0,350052,7.7958,,S,118
460,0,3,"O'Connor, Mr. Maurice",male,,0,0,371060,7.75,,Q,390
72,0,3,"Goodwin, Miss. Lillian Amy",female,16,5,2,CA 2144,46.9,,S,616
68,0,3,"Crease, Mr. Ernest James",male,19,0,0,S.P. 3464,8.1583,,S,206
294,0,3,"Haas, Miss. Aloisia",female,24,0,0,349236,8.85,,S,706
552,0,2,"Sharp, Mr. Percival James R",male,27,0,0,244358,26,,S,625
598,0,3,"Johnson, Mr. Alfred",male,49,0,0,LINE,0,,S,563
295,0,3,"Mineff, Mr. Ivan",male,24,0,0,349233,7.8958,,S,8
298,0,1,"Allison, Miss. Helen Loraine",female,2,1,2,113781,151.55,C22 C26,S,586
352,0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,113510,35,C128,S,159
278,0,2,"Parkes, Mr. Francis """"""""Frank""""""""",male,,0,0,239853,0,,S,265
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42,0,0,244310,13,,S,472
328,1,2,"Ball, Mrs. (Ada E Hall)",female,36,0,0,28551,13,D,S,564
702,1,1,"Silverthorne, Mr. Spencer Victor",male,35,0,0,PC 17475,26.2875,E24,S,141
557,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""""""""Mrs Morgan"""""""")",female,48,1,0,11755,39.6,A16,C,242
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,592
112,0,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,581
334,0,3,"Vander Planke, Mr. Leo Edmondus",male,16,2,0,345764,18,,S,214
526,0,3,"Farrell, Mr. James",male,40.5,0,0,367232,7.75,,Q,91
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21,0,0,STON/O 2. 3101280,7.925,,S,460
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0,350046,7.8542,,S,71
390,1,2,"Lehmann, Miss. Bertha",female,17,0,0,SC 1748,12,,C,378
117,0,3,"Connors, Mr. Patrick",male,70.5,0,0,370369,7.75,,Q,393
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0,343120,7.65,,S,514
458,1,1,"Kenyon, Mrs. Frederick R (Marion)",female,,1,0,17464,51.8625,D21,S,153
158,0,3,"Corn, Mr. Harry",male,30,0,0,SOTON/OQ 392090,8.05,,S,557
181,0,3,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S,250
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2,315153,22.025,,S,98
634,0,1,"Parr, Mr. William Henry Marsh",male,,0,0,112052,0,,S,312
281,0,3,"Duane, Mr. Frank",male,65,0,0,336439,7.75,,Q,132
637,0,3,"Leinonen, Mr. Antti Gustaf",male,32,0,0,STON/O 2. 3101292,7.925,,S,195
597,1,2,"Leitch, Miss. Jessie Wills",female,,0,0,248727,33,,S,650
176,0,3,"Klasen, Mr. Klas Albin",male,18,1,1,350404,7.8542,,S,534
474,1,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23,0,0,SC/AH Basle 541,13.7917,D,C,120
680,1,1,"Cardeza, Mr. Thomas Drake Martinez",male,36,0,1,PC 17755,512.3292,B51 B53 B55,C,404
678,1,3,"Turja, Miss. Anna Sofia",female,18,0,0,4138,9.8417,,S,104
345,0,2,"Fox, Mr. Stanley Hubert",male,36,0,0,229236,13,,S,88
776,0,3,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",male,18,0,0,347078,7.75,,S,11
755,1,2,"Herman, Mrs. Samuel (Jane Laver)",female,48,1,2,220845,65,,S,218
355,0,3,"Yousif, Mr. Wazli",male,,0,0,2647,7.225,,C,139
305,0,3,"Williams, Mr. Howard Hugh """"""""Harry""""""""",male,,0,0,A/5 2466,8.05,,S,469
448,1,1,"Seward, Mr. Frederic Kimber",male,34,0,0,113794,26.55,,S,512
496,0,3,"Yousseff, Mr. Gerious",male,,0,0,2627,14.4583,,C,131
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,1,0,345763,18,,S,102
746,0,1,"Crosby, Capt. Edward Gifford",male,70,1,1,WE/P 5735,71,B22,S,226
633,1,1,"Stahelin-Maeglin, Dr. Max",male,32,0,0,13214,30.5,B50,C,470
684,0,3,"Goodwin, Mr. Charles Edward",male,14,5,2,CA 2144,46.9,,S,659
720,0,3,"Johnson, Mr. Malkolm Joackim",male,33,0,0,347062,7.775,,S,176
342,1,1,"Fortune, Miss. Alice Elizabeth",female,24,3,2,19950,263,C23 C25 C27,S,661
491,0,3,"Hagland, Mr. Konrad Mathias Reiersen",male,,1,0,65304,19.9667,,S,435
881,1,2,"Shelley, Mrs. William (Imanita Parrish Hall)",female,25,0,1,230433,26,,S,354
600,1,1,"Duff Gordon, Sir. Cosmo Edmund (""""""""Mr Morgan"""""""")",male,49,1,0,PC 17485,56.9292,A20,C,686
566,0,3,"Davies, Mr. Alfred J",male,24,2,0,A/4 48871,24.15,,S,105
816,0,1,"Fry, Mr. Richard",male,,0,0,112058,0,B102,S,478
393,0,3,"Gustafsson, Mr. Johan Birger",male,28,2,0,3101277,7.925,,S,313
663,0,1,"Colley, Mr. Edward Pomeroy",male,47,0,0,5727,25.5875,E58,S,269
621,0,3,"Yasbeck, Mr. Antoni",male,27,1,0,2659,14.4542,,C,126
411,0,3,"Sdycoff, Mr. Todor",male,,0,0,349222,7.8958,,S,594
405,0,3,"Oreskovic, Miss. Marija",female,20,0,0,315096,8.6625,,S,402
801,0,2,"Ponesell, Mr. Martin",male,34,0,0,250647,13,,S,25
276,1,1,"Andrews, Miss. Kornelia Theodosia",female,63,1,0,13502,77.9583,D7,S,296
208,1,3,"Albimona, Mr. Nassef Cassem",male,26,0,0,2699,18.7875,,C,565
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2,4,2,347082,31.275,,S,334
885,0,3,"Sutehall, Mr. Henry Jr",male,25,0,0,SOTON/OQ 392076,7.05,,S,16
48,1,3,"O'Driscoll, Miss. Bridget",female,,0,0,14311,7.75,,Q,285
188,1,1,"Romaine, Mr. Charles Hallace (""""""""Mr C Rolmane"""""""")",male,45,0,0,111428,26.55,,S,424
546,0,1,"Nicholson, Mr. Arthur Ernest",male,64,0,0,693,26,,S,701
880,1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56,0,1,11767,83.1583,C50,C,426
734,0,2,"Berriman, Mr. William John",male,23,0,0,28425,13,,S,630
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37,2,0,3101276,7.925,,S,407
437,0,3,"Ford, Miss. Doolina Margaret """"""""Daisy""""""""",female,21,2,2,W./C. 6608,34.375,,S,262
577,1,2,"Garside, Miss. Ethel",female,34,0,0,243880,13,,S,481
696,0,2,"Chapman, Mr. Charles Henry",male,52,0,0,248731,13.5,,S,38
548,1,2,"Padro y Manent, Mr. Julian",male,,0,0,SC/PARIS 2146,13.8625,,C,79
521,1,1,"Perreault, Miss. Anne",female,30,0,0,12749,93.5,B73,S,666
524,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44,0,1,111361,57.9792,B18,C,552
585,0,3,"Paulner, Mr. Uscher",male,,0,0,3411,8.7125,,C,4
140,0,1,"Giglio, Mr. Victor",male,24,0,0,PC 17593,79.2,B86,C,34
363,0,3,"Barbara, Mrs. (Catherine David)",female,45,0,1,2691,14.4542,,C,128
173,1,3,"Johnson, Miss. Eleanor Ileen",female,1,1,1,347742,11.1333,,S,479
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0,PC 17610,27.7208,B4,C,299
777,0,3,"Tobin, Mr. Roger",male,,0,0,383121,7.75,F38,Q,698
358,0,2,"Funk, Miss. Annie Clemmer",female,38,0,0,237671,13,,S,529
735,0,2,"Troupiansky, Mr. Moses Aaron",male,23,0,0,233639,13,,S,164
275,1,3,"Healy, Miss. Hanora """"""""Nora""""""""",female,,0,0,370375,7.75,,Q,417
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0,36973,83.475,C83,S,694
828,1,2,"Mallet, Master. Andre",male,1,0,2,S.C./PARIS 2079,37.0042,,C,373
